"","n","cardinal","h1","h2","l"
"1",1,"Erst[er]","Akt|Act|Handlung|Aufzug","Szene|Scene|Auftritt","de"
"2",2,"Zweyt[er]","Akt|Act|Handlung|Aufzug","Szene|Scene|Auftritt","de"
"3",2,"Zweit[er]","Akt|Act|Handlung|Aufzug","Szene|Scene|Auftritt","de"
"4",3,"Dritt[er]","Akt|Act|Handlung|Aufzug","Szene|Scene|Auftritt","de"
"5",4,"Viert[er]","Akt|Act|Handlung|Aufzug","Szene|Scene|Auftritt","de"
"6",5,"Fünfte[er]","Akt|Act|Handlung|Aufzug","Szene|Scene|Auftritt","de"
"7",5,"Fuenft[er]","Akt|Akt|Handlung|Aufzug","Szene|Scene|Auftritt","de"
"8",6,"Sechst[er]","Akt|Act|Handlung|Aufzug","Szene|Scene|Auftritt","de"
"9",7,"Sieb[nter]","Akt|Act|Handlung|Aufzug","Szene|Scene|Auftritt","de"
"10",8,"Acht[er]","Akt|Act|Handlung|Aufzug","Szene|Scene|Auftritt","de"
"11",9,"Neunt[er]","Akt|Act|Handlung|Aufzug","Szene|Scene|Auftritt","de"
"12",10,"Zehnt[er]","Akt|Act|Handlung|Aufzug","Szene|Scene|Auftritt","de"
"13",11,"Elft[er]","Akt|Act|Handlung|Aufzug","Szene|Scene|Auftritt","de"
"14",12,"Zwoelft[er]","Akt|Act|Handlung|Aufzug","Szene|Scene|Auftritt","de"
"15",12,"Zwölft[er]","Akt|Act|Handlung|Aufzug","Szene|Scene|Auftritt","de"
"16",13,"Dreizehnt[er]","Akt|Act|Handlung|Aufzug","Szene|Scene|Auftritt","de"
"17",13,"Dreyzehnt[er]","Akt|Act|Handlung|Aufzug","Szene|Scene|Auftritt","de"
"18",1,"første","akt","scene","dk"
"19",2,"anden|andet","akt","scene","dk"
"20",3,"tred[ji]e","akt","scene","dk"
"21",4,"fjerde","akt","scene","dk"
"22",5,"femte","akt","scene","dk"
"23",6,"sjette","akt","scene","dk"
"24",7,"syvende","akt","scene","dk"
"25",8,"ottende","akt","scene","dk"
"26",9,"niende","akt","scene","dk"
"27",10,"tiende","akt","scene","dk"
"28",11,"ellevte","akt","scene","dk"
"29",12,"tolvte","akt","scene","dk"
"30",13,"trettende","akt","scene","dk"
"31",14,"fjortende","akt","scene","dk"
"32",15,"femtende","akt","scene","dk"
"33",16,"sekstende","akt","scene","dk"
"34",17,"syttende","akt","scene","dk"
"35",18,"attende","akt","scene","dk"
"36",19,"nittende","akt","scene","dk"
"37",20,"tyvende","akt","scene","dk"
"38",1,"first","act","scene","en"
"39",2,"second","act","scene","en"
"40",3,"third","act","scene","en"
"41",4,"fourth","act","scene","en"
"42",5,"fifth","act","scene","en"
"43",6,"sixth","act","scene","en"
"44",7,"seventh","act","scene","en"
"45",8,"eighth","act","scene","en"
"46",9,"ninth","act","scene","en"
"47",10,"tenth","act","scene","en"
"48",11,"eleventh","act","scene","en"
"49",12,"twelfth","act","scene","en"
"50",13,"thirteenth","act","scene","en"
"51",14,"fourteenth","act","scene","en"
"52",15,"fifteenth","act","scene","en"
"53",16,"sixteenth","act","scene","en"
"54",17,"seventeenth","act","scene","en"
"55",18,"eighteenth","act","scene","en"
"56",19,"nineteenth","act","scene","en"
"57",20,"twentieth","act","scene","en"
"58",1,"primero|primera","acto","escena","es"
"59",2,"segundo|segunda","acto","escena","es"
"60",3,"tercero|tercera","acto","escena","es"
"61",4,"cuarto|cuarta","acto","escena","es"
"62",6,"sexto|sexta","acto","escena","es"
"63",7,"séptimo|séptima","acto","escena","es"
"64",8,"octavo|octava","acto","escena","es"
